,,condiciones,ambiente de,condiciones,conectividad y,salud y medio,vivienda y,
numero,comuna,,,,,,,icvu 2019
,,laborales,negocios,socioculturales,movilidad,ambiente,entorno,
1,Cerrillos,61.41,38.34,41.83,62.03,49.66,30.8,47.82
2,Cerro Navia,48.42,14.14,17.32,74.71,62.69,22.25,42.42
3,Conchalí,50.79,22.1,26.02,81.25,59.05,26.89,46.52
4,El Bosque,65.57,13.22,34.79,71.62,69.1,23.57,48.54
5,Estación Central,71.64,56.77,40.59,67.85,41.75,24.79,49.96
6,Huechuraba,58.72,46.58,18.86,82.09,67.72,48.74,55.7
7,Independencia,71.06,38.26,43.68,81.51,48.76,11.84,49.51
8,La Cisterna,63.73,50.62,43.58,80.98,43.79,26.58,51.63
9,La Florida,66.44,38.41,38.63,85.41,58.45,45.48,57.23
10,La Granja,56.45,10.89,49.07,69.18,88.02,24.56,51.97
11,La Pintana,48.13,4.12,4.66,66.79,63.6,22.59,38.08
12,La Reina,80.98,66.78,50.37,88.8,72.81,58.43,70.45
13,Las Condes,85.03,69.09,57.27,85.81,58.96,84.71,74.54
14,Lo Barnechea,72.47,67.63,35.21,83.81,59.23,86.46,69.09
15,Lo Prado,55.63,11.72,32.64,79.71,63.19,23.65,46.9
16,Macul,72.11,56.92,51.32,79.78,65.6,43.32,61.92
17,Maipú,72.82,26.44,45.18,82.66,49.65,46.13,55.87
18,Ñuñoa,79.3,62.71,50.09,83.18,56.59,61.62,66.28
19,Pedro Aguirre Cerda,54.85,15.29,37.52,82.41,63.64,19.86,47.74
20,Peñalolén,60.31,52.9,35.76,81.76,49.54,41.21,54.28
21,Providencia,74.34,67.02,51.59,83.44,61.48,70.13,68.79
22,Pudahuel,67,32.99,36.13,68.47,57.72,36.33,51.11
23,Quilicura,83.83,37.37,28.85,79.59,59.34,36.56,55.86
24,Quinta Normal,57.6,51.85,35.05,72.48,36.38,23.57,45.93
25,Recoleta,65.42,42.57,35.46,82.5,56.33,22.84,51.62
26,Renca,51.03,31.29,23.26,72.48,64.86,27.56,46.7
27,San Joaquín,55.6,47.48,39.78,74.3,63.82,27.54,51.88
28,San Miguel,66.43,62.52,42.16,81.59,50.64,46.36,58.53
29,San Ramón,44.76,20.07,21.64,73.56,58.27,17.42,41.13
30,Santiago,78.88,50.32,49.91,78.2,47.94,46.74,59.27
31,Vitacura,86.35,72.17,56.45,82.77,65.56,84.67,75.59
